batch_id,t1,t2,q1,t3,q2,t4,t5
15113250-42ad-42e6-b11d-bd8e32d97b18,2.158970,0.000116,0,3.705923,1,0.000279,2.129363
e9b695a9-938e-4e7a-a802-314edd802829,2.182827,1.406009,0,1.494959,1,0.322195,2.143305
9b297192-bb8d-42c3-8e04-da16600af18c,2.226774,0.596351,0,1.313348,1,1.330216,2.109807
22452379-5786-40cb-9900-03307bb3bb65,2.122736,0.000116,0,0.950972,2,2.123317,2.084600
e6342a0b-3823-4d08-8423-b780db55ffc2,2.056936,0.000087,0,0.876514,2,2.099365,1.982515
7f5f0851-d2b4-45c2-b805-3f9429f079d5,2.046051,0.000112,0,0.803667,2,2.008504,1.989643
eb133f80-ba9d-4e2a-b5f6-87b271792cba,2.140813,0.000112,0,0.730760,1,1.740433,2.024317
97390e71-c694-4ea2-bfbd-5d77a61210da,1.995978,0.000080,0,0.866737,1,1.411737,2.067548
ac0ae765-7b7d-4438-9556-924ac94cc459,2.192668,0.001694,0,0.829932,1,1.314147,2.107564
a2526f37-e7b1-42ec-baef-ae30a07d9db3,2.165853,0.000071,0,0.890651,1,1.095557,2.082351
fd13ca9a-179a-4fcb-8cc8-9e1abf9b130e,2.071736,0.000124,0,0.756690,1,1.042617,2.041903
d918b680-f99a-4c6f-ad3e-8230cd372c68,2.078825,0.000121,0,0.671888,1,1.050612,2.006116
88f486e9-6ef1-4b97-9031-a8aec16b7b1c,2.036724,0.000072,0,0.737633,1,0.667658,2.042538
6bc2704b-94a6-46a0-8900-aca8e42ee5a2,1.991416,0.000103,0,0.665498,1,0.594201,2.097025
5c3e0989-0511-4170-a061-0def00261003,2.188143,0.000092,0,0.784969,1,0.310016,2.058013
ba0c1cb4-8114-47b7-b1b1-5957db4fd7c2,2.048853,0.000196,0,0.628803,1,0.359288,2.049258
aa69fb70-1674-4cd2-9793-2e6b47a437f2,2.084229,0.000089,0,0.682455,1,0.201915,2.002917
8c08599e-0c03-46fa-9930-371e0e6fe011,1.932621,0.000086,0,0.619143,1,0.216502,2.056455
4efd2532-c464-42bd-8a2c-fff4f39e7571,1.989556,0.000155,0,0.596965,1,0.184409,2.030289
2f08e116-8491-40be-bb94-4ace0d7b02a1,2.116994,0.000077,0,0.556284,1,0.000871,1.939446
56e449bb-8406-4166-8873-5e2df6673d00,2.134112,0.000117,0,0.610989,1,0.000648,1.957208
d86d72fd-1905-46fe-ae45-d1fd70bbba6d,2.149292,0.000106,0,0.488582,1,0.000437,1.988086
cd997b01-83f3-42fc-a2df-e874ccc6cfd2,2.084512,0.000119,0,0.668423,1,0.002442,2.010858
9204207e-91a2-43a3-9a5a-f67943741cd3,2.129326,0.000196,0,0.597306,1,0.003253,2.034773
c811a662-6406-457b-9ea6-b44bdd379258,2.066412,0.001953,0,0.490357,1,0.000688,2.027771
ae872b72-c4d5-44f6-918c-d3dc6131326e,1.884591,0.000052,0,0.460114,1,0.000654,2.047522
f58d2bac-6fd4-4170-9dbf-c040676072bb,1.965806,0.000105,0,0.474552,1,0.000671,1.972882
fb373b1f-6778-4393-b97b-c39d68848285,2.073950,0.000121,0,0.455180,1,0.000483,1.982728
3eb104fd-7891-4ed6-88ad-183e67a4223c,2.070138,0.000088,0,0.559921,1,0.001416,1.967012
40d026bb-66e8-4679-837b-8682d3dd85c2,2.050113,0.000079,0,0.467961,1,0.001872,1.982095
6ddca744-9715-4f8f-96c0-b4a8bd327c68,1.949729,0.000119,0,0.409971,1,0.000823,2.005528
317aa0f4-cd5b-4390-a994-6fdc5b16bb82,1.977155,0.000094,0,0.392073,1,0.000719,1.957058
86ab78a0-e556-4cd0-8f4c-ad8557d517e9,1.867595,0.000139,0,0.311701,1,0.028529,1.940275
6c530bdc-d14a-4230-bbfc-9ad34ccc7e8a,1.866286,0.000070,0,0.571268,1,0.000407,1.992130
c9878c2b-e610-402b-88cf-7f00682f7a71,2.090070,0.000093,0,0.414315,1,0.001280,1.889612
58e2465c-7d06-4a66-85a8-824038043754,2.100059,0.000115,0,0.484563,1,0.001972,2.017093
2bf9fdcf-68ab-47f7-93d3-fa150e6aad21,2.043456,0.000582,0,0.492769,1,0.002399,1.984832
343fa445-f2c9-45fb-90c8-6110cf076d2b,2.086217,0.000123,0,0.357072,1,0.000483,1.881847
3aa6a2a3-e61e-4067-8ecb-40320a2be8a4,1.980059,0.000150,0,0.361179,1,0.001241,1.973639
643bdd31-c299-426d-be62-823d60c19cea,1.959480,0.000110,0,0.492387,1,0.000452,2.043077
4b73ec6a-def4-4c45-85ee-09cc9bb0752a,2.066976,0.000110,0,0.402303,1,0.000747,1.994386
dd4ad46b-9483-4525-a987-30c05917daea,1.958371,0.000088,0,0.468943,1,0.000452,1.983507
ba891cc7-2c4e-4d1f-af95-7cbd35872efb,2.081977,0.000104,0,0.402673,1,0.000691,1.974422
9beffe6d-83c1-40e9-b351-aa43f1d81934,1.929834,0.000116,0,0.409386,1,0.000540,2.027742
b7c2c654-95ad-477c-8082-776c955d07fe,1.978782,0.000100,0,0.467219,1,0.002733,2.053391
65988f25-e6a4-45ad-9676-5a6802a894b3,1.932950,0.000123,0,0.421671,1,0.012261,2.072085
b534e206-760e-44f1-8eb3-332c5f5ed8fe,1.958846,0.000064,0,0.413507,1,0.063560,1.920627
1e797fa8-6d76-486f-8102-df2833713d95,2.003070,0.000094,0,0.393892,1,0.000471,2.081400
4fa487b3-1224-474c-b691-0d9f4d6fff82,1.916198,0.000104,0,0.418650,1,0.000744,2.060668
7f74cb82-863f-49b7-b402-0b1f228161b9,2.002761,0.000112,0,0.460138,1,0.000445,1.943943
cc35f40e-bff5-4a0b-9a96-bf97ddb6cd05,2.060423,0.000075,0,0.465522,1,0.002433,2.065831
84c331cb-5255-4ad6-91c0-fdaa8f0d3981,1.943580,0.000076,0,0.419153,1,0.000422,1.970950
0fd4a59a-2b19-4768-9a7f-fe85166f141d,1.968412,0.002852,0,0.393595,1,0.000772,1.973171
82c8ec32-1607-48d9-a80c-1c4af3c860a1,2.000828,0.000084,0,0.470422,1,0.000428,1.995340
f03e2447-2b51-4521-bd72-639e179053e5,2.007537,0.000317,0,0.455501,1,0.000639,1.884331
5624db8b-5385-4e30-ab18-a5b4c324fe82,1.969839,0.003823,0,0.405898,1,0.000489,2.048744
73197103-3fa1-402e-8bac-28f9858a23da,1.986880,0.000115,0,0.404203,1,0.000685,2.071391
208e782d-1b66-4d6e-b098-42b5e80b7aa1,1.971245,0.001278,0,0.391392,1,0.001774,2.128034
239c14a0-efb1-4726-a81d-1bef2391b249,2.029660,0.000125,0,0.352131,1,0.000636,1.971995
6d7bd4cf-d193-488c-88d4-94e16ba100be,2.083597,0.000087,0,0.395249,1,0.001293,1.996751
5d91b4f4-293c-47a4-a0d3-20a0451964d5,1.971202,0.000169,0,0.334151,1,0.000650,2.002604
65982084-b223-4533-acbf-33d4926d9c01,1.970854,0.000264,0,0.471416,1,0.000496,1.853303
04f836ad-f1d2-487e-a650-8a9985c50856,1.881332,0.000089,0,0.452684,1,0.001204,1.979178
c357b4d5-1cc2-4725-b2d3-f84707c65629,1.943277,0.000081,0,0.456484,1,0.000968,2.005378
0144893c-0b7c-41ad-9506-1833eca786c1,2.051708,0.000076,0,0.397702,1,0.000604,2.074836
47d7f711-be18-41ab-a1fe-8d0bf35b4b11,2.063648,0.000119,0,0.395581,1,0.000772,2.007561
1b9c41bc-f9ca-48af-aebe-7283565c455c,1.969553,0.000093,0,0.486206,1,0.000706,1.985798
