batch_id,t1,t2,q1,t3,q2,t4,t5
0c23bea4-e61f-4383-8f93-aee8bbe905e1,2.292857,0.000112,0,2.997314,1,0.000334,2.055359
fbfa1682-5c58-475a-b193-97f2537aac43,2.317477,0.573271,0,3.130982,1,0.000340,1.880094
7d310945-1796-43cf-b402-7b1706a87a9f,2.402263,1.243831,0,3.099967,1,0.000337,1.908550
a4e9e779-b599-4e97-8e74-a79c3ed143e0,2.510719,1.678618,0,3.108911,1,0.000329,1.958493
65bdf41c-882f-48a7-9562-613b160bfba0,2.298961,2.378008,0,2.634135,1,0.000310,1.952939
6b975e5f-1d3b-4aa3-b8a7-13bdedf521f6,2.240412,2.629479,1,2.986096,1,0.000381,1.951473
89278353-4865-4847-b5d3-e143d9fb0e24,2.385491,3.171036,1,3.109403,1,0.000329,1.960938
1f77df5e-dcdf-485e-83b2-c1d7ec4c3286,2.354199,3.799073,1,2.218057,1,0.000832,2.026435
0621b322-1a32-47cb-87df-0bad4b3c8593,2.416393,3.543065,1,1.822613,1,0.000593,1.928599
eda0018f-dc3c-4075-a7f6-4e1024e55d97,2.489934,2.758916,1,2.483476,1,0.000820,1.889481
2fede0ac-5468-4689-af91-1470faa41ffa,2.452813,2.659676,1,2.685155,1,0.000344,1.960130
04879272-0186-46a7-9c81-59c5e0da22cf,2.465595,2.760142,1,2.567996,1,0.000585,1.935114
4426b880-9907-4a8c-b5f4-b39e55531f03,2.514036,2.668751,1,2.958212,1,0.000355,1.969675
f926f141-01e7-41e2-99f1-ccf05d723914,2.519535,3.101142,1,2.608081,1,0.005125,1.898641
a519d790-cb4d-4c6f-8240-4614a221638e,2.416769,3.201731,1,3.191470,1,0.000363,1.976758
1d9afe72-f666-4a52-8d92-fde2c2b15331,2.513232,3.767829,1,2.102069,1,0.005667,2.023703
e9a7697d-128b-4666-9daa-62881351573f,2.412131,3.307255,1,2.102111,1,0.000606,1.918429
d1c48a1a-b607-404c-8571-bbb7e0697506,2.394440,2.885327,1,2.366489,1,0.000570,1.952682
22d8cf47-fd6a-4252-9417-9334de5ff52d,2.361314,2.732510,1,2.392587,1,0.000803,1.928259
06f06beb-6132-46c2-a4b7-83d3e0165333,2.441863,2.560720,1,2.638609,1,0.003474,1.938152
ca7e54f7-0b1a-4b14-b9ed-0c0b6474229f,2.357007,2.688363,1,2.528518,1,0.000345,1.919184
af4fdeb7-8dba-4b9e-aee9-588855282ba3,2.342980,2.732260,1,3.197831,1,0.000414,1.900236
cc013573-977f-4245-aed1-b817a5ab0aa2,2.431469,3.402766,1,2.768057,1,0.000371,1.941380
bd68ebb6-c7b2-4e87-b8b0-5307356b7400,2.340868,3.700294,1,2.302821,1,0.000329,2.056442
72173f25-f764-4e89-bd43-75128e771c5d,2.279835,3.650285,1,1.699575,1,0.000576,1.898869
ad6e1f0e-4eae-4983-aade-28d929b82913,2.464080,2.756105,1,2.795097,1,0.000331,1.851071
a777dcee-8c47-41b4-b2c3-0c8aacfcf495,2.450421,2.965113,1,2.400478,1,0.000385,1.916246
