timestamp,queue_name,messages_ready,messages_unacknowledged,messages,publish_rate,deliver_get_rate,ack_rate,consumers,state
2025-06-17T07:56:59.027151,intermediate_queue_2,0,0,0,0.0,0.0,0.0,0,running
2025-06-17T07:57:04.037093,intermediate_queue_2,0,0,0,0.0,0.0,0.0,0,running
2025-06-17T07:57:09.046024,intermediate_queue_2,0,0,0,0.0,0.0,0.0,1,running
2025-06-17T07:57:14.056677,intermediate_queue_2,0,0,0,3.6,3.6,3.8,1,running
2025-06-17T07:57:19.066686,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T07:57:24.077174,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T07:57:29.087102,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:57:34.094055,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T07:57:39.103424,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:57:44.111437,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T07:57:49.121149,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T07:57:54.130822,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:57:59.141492,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:58:04.156196,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T07:58:09.169559,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:58:14.180940,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:58:19.191533,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T07:58:24.198234,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:58:29.207518,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:58:34.217573,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:58:39.227434,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:58:44.243891,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:58:49.255964,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T07:58:54.267061,intermediate_queue_2,0,0,0,3.8,3.8,3.8,1,running
2025-06-17T07:58:59.279999,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T07:59:04.292215,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T07:59:09.303209,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:59:14.314844,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T07:59:19.326177,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:59:24.336169,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T07:59:29.345765,intermediate_queue_2,0,0,0,3.8,3.8,3.8,1,running
2025-06-17T07:59:34.353579,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:59:39.365710,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:59:44.382626,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T07:59:49.391222,intermediate_queue_2,0,1,1,3.8,3.8,3.8,1,running
2025-06-17T07:59:54.398542,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T07:59:59.408784,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T08:00:04.419231,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T08:00:09.428711,intermediate_queue_2,0,0,0,5.0,5.0,5.0,1,running
2025-06-17T08:00:14.440297,intermediate_queue_2,0,0,0,6.4,6.4,6.4,1,running
