timestamp,queue_name,messages_ready,messages_unacknowledged,messages,publish_rate,deliver_get_rate,ack_rate,consumers,state
2025-06-17T16:22:27.890193,intermediate_queue_2,0,0,0,0.0,0.0,0.0,1,running
2025-06-17T16:22:32.902300,intermediate_queue_2,0,0,0,0.0,0.0,0.0,1,running
2025-06-17T16:22:37.910635,intermediate_queue_2,0,0,0,4.4,4.4,4.6,1,running
2025-06-17T16:22:42.916235,intermediate_queue_2,0,1,1,3.6,3.6,3.6,1,running
2025-06-17T16:22:47.926221,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:22:52.933771,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:22:57.946550,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T16:23:02.959509,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:23:07.975206,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:23:12.985948,intermediate_queue_2,0,1,1,3.6,3.6,3.4,1,running
2025-06-17T16:23:17.996642,intermediate_queue_2,0,0,0,3.4,3.4,3.6,1,running
2025-06-17T16:23:23.006624,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T16:23:28.016428,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:23:33.026296,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:23:38.033915,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T16:23:43.047567,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:23:48.056733,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:23:53.069218,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:23:58.086794,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:24:03.098098,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T16:24:08.105960,intermediate_queue_2,0,1,1,3.2,3.2,3.2,1,running
2025-06-17T16:24:13.114546,intermediate_queue_2,0,1,1,3.6,3.6,3.4,1,running
2025-06-17T16:24:18.124070,intermediate_queue_2,0,0,0,3.4,3.4,3.6,1,running
2025-06-17T16:24:23.134079,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:24:28.145807,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T16:24:33.157844,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:24:38.167195,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:24:43.179073,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:24:48.188637,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:24:53.199749,intermediate_queue_2,0,0,0,3.4,3.4,3.2,1,running
2025-06-17T16:24:58.210722,intermediate_queue_2,0,0,0,3.4,3.4,3.6,1,running
2025-06-17T16:25:03.220838,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:25:08.231729,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:25:13.244860,intermediate_queue_2,0,0,0,3.6,3.6,3.6,1,running
2025-06-17T16:25:18.255979,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:25:23.272351,intermediate_queue_2,0,0,0,3.4,3.4,3.4,1,running
2025-06-17T16:25:28.283039,intermediate_queue_2,0,0,0,3.4,3.4,3.2,1,running
2025-06-17T16:25:33.291746,intermediate_queue_2,0,0,0,3.6,3.6,3.8,1,running
2025-06-17T16:25:38.302067,intermediate_queue_2,0,0,0,10.2,10.2,10.0,1,running
2025-06-17T16:25:43.313691,intermediate_queue_2,0,0,0,6.4,0.8,0.8,1,running
2025-06-17T16:25:48.324540,intermediate_queue_2,30,0,30,6.0,0.0,0.0,0,running
2025-06-17T16:25:53.339151,intermediate_queue_2,61,0,61,6.6,0.0,0.0,0,running
